Ano;USD BRL
2000;1.833075
2001;2.3637083333333333
2002;2.9307
2003;3.0576000000000003
2004;2.9271999999999996
2005;2.440975
2006;2.17465
2007;1.9469583333333336
2008;1.83495
2009;1.9956916666666666
2010;1.7567583333333332
2011;1.6726666666666665
2012;1.9502499999999998
2013;2.1528416666666668
2014;2.360475
2015;3.3195083333333333
2016;3.488258333333333
2017;3.1853166666666666
2018;3.6644166666666664
2019;3.943725
2020;5.057366666666667
2021;5.319675
2022;5.233416666666667
2023;5.017483333333334
2024;4.945225
